timestamp,memory_used_mib,memory_free_mib,memory_total_mib,own_memory_used_mib
2026-08-20T20:45:44Z,103159, 39998, 143771,0
2026-08-20T20:45:47Z,103159, 39998, 143771,0
2026-08-20T20:45:49Z,103159, 39998, 143771,0
2026-08-20T20:45:52Z,103159, 39998, 143771,0
2026-08-20T20:45:54Z,103159, 39998, 143771,0
2026-08-20T20:45:57Z,103159, 39998, 143771,0
2026-08-20T20:46:00Z,103159, 39998, 143771,0
2026-08-20T20:46:02Z,103159, 39998, 143771,0
2026-08-20T20:46:05Z,103161, 39996, 143771,0
2026-08-20T20:46:08Z,103163, 39994, 143771,0
2026-08-20T20:46:11Z,103163, 39994, 143771,0
2026-08-20T20:46:14Z,103165, 39992, 143771,0
2026-08-20T20:46:16Z,103688, 39469, 143771,654
2026-08-20T20:46:19Z,107088, 36069, 143771,3918
2026-08-20T20:46:22Z,104012, 39145, 143771,834
2026-08-20T20:46:25Z,105924, 37233, 143771,2746
2026-08-20T20:46:28Z,105924, 37233, 143771,2746
2026-08-20T20:46:33Z,105924, 37233, 143771,2746
2026-08-20T20:46:36Z,105926, 37231, 143771,2746
2026-08-20T20:46:39Z,105926, 37231, 143771,2746
2026-08-20T20:46:42Z,105926, 37231, 143771,2746
2026-08-20T20:46:44Z,105926, 37231, 143771,2746
2026-08-20T20:46:47Z,105928, 37229, 143771,2746
2026-08-20T20:46:50Z,105928, 37229, 143771,2746
2026-08-20T20:46:53Z,105930, 37227, 143771,2746
2026-08-20T20:46:56Z,105930, 37227, 143771,2746
2026-08-20T20:46:58Z,105930, 37227, 143771,2746
2026-08-20T20:47:01Z,105930, 37227, 143771,2746
2026-08-20T20:47:04Z,107566, 35591, 143771,4378
2026-08-20T20:47:07Z,107566, 35591, 143771,4378
2026-08-20T20:47:09Z,107566, 35591, 143771,4378
2026-08-20T20:47:12Z,107566, 35591, 143771,4378
2026-08-20T20:47:15Z,107566, 35591, 143771,4378
2026-08-20T20:47:17Z,107568, 35589, 143771,4380
2026-08-20T20:47:20Z,107568, 35589, 143771,4380
2026-08-20T20:47:23Z,107568, 35589, 143771,4380
2026-08-20T20:47:25Z,107568, 35589, 143771,4380
2026-08-20T20:47:28Z,107922, 35235, 143771,4734
2026-08-20T20:47:31Z,108178, 34979, 143771,4990
2026-08-20T20:47:33Z,108178, 34979, 143771,4990
2026-08-20T20:47:36Z,108178, 34979, 143771,4990
2026-08-20T20:47:39Z,108178, 34979, 143771,4990
2026-08-20T20:47:41Z,108178, 34979, 143771,4990
2026-08-20T20:47:44Z,108178, 34979, 143771,4990
2026-08-20T20:47:47Z,108178, 34979, 143771,4990
2026-08-20T20:47:49Z,108398, 34759, 143771,5214
2026-08-20T20:47:52Z,108428, 34729, 143771,5216
2026-08-20T20:47:55Z,108432, 34725, 143771,5272
2026-08-20T20:47:58Z,108488, 34669, 143771,5300
2026-08-20T20:48:00Z,108492, 34665, 143771,5310
2026-08-20T20:48:03Z,108544, 34613, 143771,5362
2026-08-20T20:48:06Z,108552, 34605, 143771,5390
2026-08-20T20:48:09Z,108590, 34567, 143771,5404
