timestamp,memory_used_mib,memory_free_mib,memory_total_mib,own_memory_used_mib
2026-08-20T20:31:31Z,99930, 43227, 143771,0
2026-08-20T20:31:33Z,99932, 43225, 143771,0
2026-08-20T20:31:36Z,99932, 43225, 143771,0
2026-08-20T20:31:39Z,99932, 43225, 143771,0
2026-08-20T20:31:41Z,99932, 43225, 143771,0
2026-08-20T20:31:43Z,99932, 43225, 143771,0
2026-08-20T20:31:46Z,99932, 43225, 143771,0
2026-08-20T20:31:48Z,99932, 43225, 143771,0
2026-08-20T20:31:51Z,99932, 43225, 143771,0
2026-08-20T20:31:53Z,99932, 43225, 143771,0
2026-08-20T20:31:56Z,99932, 43225, 143771,0
2026-08-20T20:31:58Z,99932, 43225, 143771,0
2026-08-20T20:32:01Z,99932, 43225, 143771,0
2026-08-20T20:32:03Z,100768, 42389, 143771,1082
2026-08-20T20:32:06Z,100770, 42387, 143771,834
2026-08-20T20:32:08Z,103854, 39303, 143771,3918
2026-08-20T20:32:11Z,102682, 40475, 143771,2746
2026-08-20T20:32:13Z,102682, 40475, 143771,2746
2026-08-20T20:32:16Z,102686, 40471, 143771,2746
2026-08-20T20:32:19Z,102686, 40471, 143771,2746
2026-08-20T20:32:21Z,102686, 40471, 143771,2746
2026-08-20T20:32:24Z,102686, 40471, 143771,2746
2026-08-20T20:32:26Z,102686, 40471, 143771,2746
2026-08-20T20:32:29Z,102686, 40471, 143771,2746
2026-08-20T20:32:31Z,102686, 40471, 143771,2746
2026-08-20T20:32:34Z,102686, 40471, 143771,2746
2026-08-20T20:32:36Z,102686, 40471, 143771,2746
2026-08-20T20:32:39Z,102688, 40469, 143771,2746
2026-08-20T20:32:41Z,102688, 40469, 143771,2778
2026-08-20T20:32:43Z,104325, 38832, 143771,4378
2026-08-20T20:32:46Z,104325, 38832, 143771,4378
2026-08-20T20:32:48Z,104325, 38832, 143771,4378
2026-08-20T20:32:51Z,104325, 38832, 143771,4378
2026-08-20T20:32:53Z,104325, 38832, 143771,4378
2026-08-20T20:32:56Z,104327, 38830, 143771,4380
2026-08-20T20:32:58Z,104327, 38830, 143771,4380
2026-08-20T20:33:01Z,104327, 38830, 143771,4380
2026-08-20T20:33:03Z,104327, 38830, 143771,4380
2026-08-20T20:33:06Z,104327, 38830, 143771,4380
2026-08-20T20:33:08Z,104937, 38220, 143771,4990
2026-08-20T20:33:10Z,104937, 38220, 143771,4990
2026-08-20T20:33:13Z,104937, 38220, 143771,4990
2026-08-20T20:33:15Z,104937, 38220, 143771,4990
2026-08-20T20:33:18Z,104937, 38220, 143771,4990
2026-08-20T20:33:20Z,104937, 38220, 143771,4990
2026-08-20T20:33:23Z,104937, 38220, 143771,4990
2026-08-20T20:33:25Z,104937, 38220, 143771,4990
2026-08-20T20:33:28Z,104937, 38220, 143771,4990
2026-08-20T20:33:30Z,105131, 38026, 143771,5214
2026-08-20T20:33:33Z,105159, 37998, 143771,5214
2026-08-20T20:33:35Z,105217, 37940, 143771,5244
2026-08-20T20:33:37Z,105217, 37940, 143771,5298
2026-08-20T20:33:40Z,105245, 37912, 143771,5302
2026-08-20T20:33:42Z,105297, 37860, 143771,5350
2026-08-20T20:33:45Z,105301, 37856, 143771,5380
2026-08-20T20:33:47Z,105333, 37824, 143771,5390
2026-08-20T20:33:50Z,103825, 39332, 143771,5842
2026-08-20T20:33:52Z,105353, 37804, 143771,5406
2026-08-20T20:33:57Z,105353, 37804, 143771,5406
2026-08-20T20:33:59Z,105353, 37804, 143771,5406
2026-08-20T20:34:02Z,105353, 37804, 143771,5406
2026-08-20T20:34:06Z,105353, 37804, 143771,5490
2026-08-20T20:34:09Z,105437, 37720, 143771,5490
2026-08-20T20:34:11Z,105437, 37720, 143771,5490
2026-08-20T20:34:14Z,105437, 37720, 143771,5490
2026-08-20T20:34:16Z,105437, 37720, 143771,5490
2026-08-20T20:34:18Z,105437, 37720, 143771,5490
2026-08-20T20:34:21Z,105437, 37720, 143771,5490
2026-08-20T20:34:24Z,105437, 37720, 143771,5490
2026-08-20T20:34:26Z,105437, 37720, 143771,5490
2026-08-20T20:34:28Z,105437, 37720, 143771,5490
2026-08-20T20:34:31Z,105437, 37720, 143771,5490
2026-08-20T20:34:33Z,105437, 37720, 143771,5490
2026-08-20T20:34:36Z,105437, 37720, 143771,5490
2026-08-20T20:34:38Z,105437, 37720, 143771,5490
2026-08-20T20:34:41Z,107857, 35300, 143771,7910
2026-08-20T20:34:43Z,111619, 31538, 143771,11672
2026-08-20T20:34:46Z,109933, 33224, 143771,9986
2026-08-20T20:34:48Z,109933, 33224, 143771,9986
2026-08-20T20:34:51Z,109937, 33220, 143771,9990
2026-08-20T20:34:53Z,109937, 33220, 143771,8462
2026-08-20T20:34:56Z,108653, 34504, 143771,8706
2026-08-20T20:34:58Z,108653, 34504, 143771,8706
2026-08-20T20:35:00Z,108653, 34504, 143771,8706
2026-08-20T20:35:03Z,108653, 34504, 143771,8706
2026-08-20T20:35:05Z,108653, 34504, 143771,8706
2026-08-20T20:35:08Z,108653, 34504, 143771,8706
2026-08-20T20:35:10Z,108653, 34504, 143771,8706
2026-08-20T20:35:13Z,108653, 34504, 143771,8706
2026-08-20T20:35:15Z,108653, 34504, 143771,8706
2026-08-20T20:35:18Z,108653, 34504, 143771,8706
2026-08-20T20:35:20Z,108653, 34504, 143771,8706
2026-08-20T20:35:23Z,108653, 34504, 143771,8706
2026-08-20T20:35:25Z,108653, 34504, 143771,8706
2026-08-20T20:35:28Z,108653, 34504, 143771,8706
2026-08-20T20:35:30Z,108653, 34504, 143771,8706
2026-08-20T20:35:33Z,108653, 34504, 143771,8706
2026-08-20T20:35:35Z,108653, 34504, 143771,8706
2026-08-20T20:35:38Z,107953, 35204, 143771,8006
2026-08-20T20:35:40Z,116339, 26818, 143771,16394
2026-08-20T20:35:43Z,116481, 26676, 143771,16534
2026-08-20T20:35:45Z,109725, 33432, 143771,9772
2026-08-20T20:35:48Z,109729, 33428, 143771,9772
2026-08-20T20:35:50Z,112651, 30506, 143771,12690
2026-08-20T20:35:53Z,112695, 30462, 143771,12740
2026-08-20T20:35:55Z,112717, 30440, 143771,12756
2026-08-20T20:35:57Z,112727, 30430, 143771,12768
2026-08-20T20:36:00Z,112737, 30420, 143771,12776
2026-08-20T20:36:02Z,112741, 30416, 143771,12782
2026-08-20T20:36:05Z,112747, 30410, 143771,12786
2026-08-20T20:36:07Z,112749, 30408, 143771,12788
2026-08-20T20:36:10Z,112751, 30406, 143771,12790
2026-08-20T20:36:12Z,113043, 30114, 143771,13082
2026-08-20T20:36:15Z,113043, 30114, 143771,13082
2026-08-20T20:36:17Z,113043, 30114, 143771,13082
2026-08-20T20:36:19Z,113903, 29254, 143771,14102
2026-08-20T20:36:22Z,115043, 28114, 143771,15242
2026-08-20T20:36:24Z,116183, 26974, 143771,16362
2026-08-20T20:36:27Z,120011, 23146, 143771,20050
2026-08-20T20:36:29Z,120057, 23100, 143771,20096
2026-08-20T20:36:32Z,120099, 23058, 143771,20140
2026-08-20T20:36:34Z,120101, 23056, 143771,20140
2026-08-20T20:36:37Z,120101, 23056, 143771,20140
2026-08-20T20:36:39Z,120101, 23056, 143771,20140
2026-08-20T20:36:42Z,120101, 23056, 143771,20140
2026-08-20T20:36:44Z,120101, 23056, 143771,20140
2026-08-20T20:36:47Z,120101, 23056, 143771,20140
2026-08-20T20:36:49Z,120101, 23056, 143771,20140
2026-08-20T20:36:51Z,120101, 23056, 143771,20140
2026-08-20T20:36:54Z,120101, 23056, 143771,20140
2026-08-20T20:36:56Z,120101, 23056, 143771,20140
2026-08-20T20:36:59Z,120101, 23056, 143771,20140
2026-08-20T20:37:01Z,120101, 23056, 143771,20140
2026-08-20T20:37:04Z,120101, 23056, 143771,20140
2026-08-20T20:37:06Z,120101, 23056, 143771,20140
2026-08-20T20:37:09Z,120101, 23056, 143771,20140
2026-08-20T20:37:11Z,120101, 23056, 143771,20140
2026-08-20T20:37:14Z,120101, 23056, 143771,20140
2026-08-20T20:37:16Z,120101, 23056, 143771,20140
2026-08-20T20:37:19Z,120101, 23056, 143771,20140
2026-08-20T20:37:21Z,120101, 23056, 143771,20140
2026-08-20T20:37:24Z,120101, 23056, 143771,20140
2026-08-20T20:37:26Z,120101, 23056, 143771,20140
2026-08-20T20:37:29Z,120101, 23056, 143771,20140
2026-08-20T20:37:31Z,120101, 23056, 143771,20140
2026-08-20T20:37:34Z,120101, 23056, 143771,20140
2026-08-20T20:37:36Z,120101, 23056, 143771,20140
2026-08-20T20:37:39Z,120101, 23056, 143771,20140
2026-08-20T20:37:41Z,120101, 23056, 143771,20140
2026-08-20T20:37:43Z,120101, 23056, 143771,20140
2026-08-20T20:37:46Z,120101, 23056, 143771,20140
2026-08-20T20:37:49Z,120101, 23056, 143771,20140
2026-08-20T20:37:51Z,120101, 23056, 143771,20140
2026-08-20T20:37:53Z,120101, 23056, 143771,20140
2026-08-20T20:37:56Z,120101, 23056, 143771,20140
2026-08-20T20:37:58Z,120101, 23056, 143771,20140
2026-08-20T20:38:01Z,120101, 23056, 143771,20140
2026-08-20T20:38:03Z,120103, 23054, 143771,20142
2026-08-20T20:38:06Z,124163, 18994, 143771,27722
2026-08-20T20:38:08Z,129103, 14054, 143771,29142
2026-08-20T20:38:10Z,129115, 14042, 143771,29154
2026-08-20T20:38:13Z,129115, 14042, 143771,29154
2026-08-20T20:38:15Z,129115, 14042, 143771,29154
2026-08-20T20:38:18Z,129115, 14042, 143771,29154
2026-08-20T20:38:20Z,129115, 14042, 143771,29154
2026-08-20T20:38:23Z,129115, 14042, 143771,29154
2026-08-20T20:38:25Z,129115, 14042, 143771,29154
2026-08-20T20:38:27Z,129115, 14042, 143771,29154
2026-08-20T20:38:30Z,129115, 14042, 143771,29154
2026-08-20T20:38:33Z,129115, 14042, 143771,29154
2026-08-20T20:38:35Z,129635, 13522, 143771,29674
2026-08-20T20:38:37Z,129635, 13522, 143771,29674
2026-08-20T20:38:40Z,129635, 13522, 143771,29674
2026-08-20T20:38:42Z,129635, 13522, 143771,29674
2026-08-20T20:38:45Z,129635, 13522, 143771,29674
2026-08-20T20:38:47Z,129635, 13522, 143771,29674
2026-08-20T20:38:50Z,129635, 13522, 143771,29674
2026-08-20T20:38:52Z,129635, 13522, 143771,29674
2026-08-20T20:38:55Z,129635, 13522, 143771,29674
2026-08-20T20:38:57Z,129635, 13522, 143771,29674
2026-08-20T20:38:59Z,129635, 13522, 143771,29674
2026-08-20T20:39:02Z,129635, 13522, 143771,29674
2026-08-20T20:39:04Z,116695, 26462, 143771,16734
2026-08-20T20:39:07Z,116695, 26462, 143771,16734
2026-08-20T20:39:09Z,116695, 26462, 143771,16734
2026-08-20T20:39:12Z,114921, 28236, 143771,15620
2026-08-20T20:39:14Z,115961, 27196, 143771,16000
2026-08-20T20:39:17Z,116021, 27136, 143771,16060
2026-08-20T20:39:19Z,116061, 27096, 143771,16120
2026-08-20T20:39:22Z,116081, 27076, 143771,16120
2026-08-20T20:39:24Z,116101, 27056, 143771,16140
2026-08-20T20:39:26Z,116121, 27036, 143771,16160
2026-08-20T20:39:29Z,116161, 26996, 143771,16200
2026-08-20T20:39:31Z,116281, 26876, 143771,16320
2026-08-20T20:39:34Z,116281, 26876, 143771,16320
2026-08-20T20:39:36Z,116281, 26876, 143771,16320
2026-08-20T20:39:39Z,116281, 26876, 143771,16320
2026-08-20T20:39:41Z,116281, 26876, 143771,16320
2026-08-20T20:39:44Z,116281, 26876, 143771,16320
2026-08-20T20:39:46Z,116281, 26876, 143771,16320
2026-08-20T20:39:48Z,116281, 26876, 143771,16320
2026-08-20T20:39:51Z,116281, 26876, 143771,16320
2026-08-20T20:39:53Z,119741, 23416, 143771,19780
2026-08-20T20:39:56Z,120261, 22896, 143771,20300
2026-08-20T20:39:58Z,124861, 18296, 143771,24900
2026-08-20T20:40:01Z,125081, 18076, 143771,25020
2026-08-20T20:40:03Z,121027, 22130, 143771,21072
2026-08-20T20:40:06Z,121057, 22100, 143771,21096
2026-08-20T20:40:08Z,121067, 22090, 143771,21106
2026-08-20T20:40:10Z,121075, 22082, 143771,21114
2026-08-20T20:40:13Z,121085, 22072, 143771,21124
2026-08-20T20:40:15Z,121093, 22064, 143771,21132
2026-08-20T20:40:18Z,121097, 22060, 143771,21136
2026-08-20T20:40:20Z,121099, 22058, 143771,21140
2026-08-20T20:40:23Z,121101, 22056, 143771,21140
2026-08-20T20:40:25Z,129541, 13616, 143771,29580
2026-08-20T20:40:28Z,129627, 13530, 143771,29666
2026-08-20T20:40:30Z,129627, 13530, 143771,29710
2026-08-20T20:40:33Z,129671, 13486, 143771,29710
2026-08-20T20:40:35Z,129671, 13486, 143771,29710
2026-08-20T20:40:37Z,129671, 13486, 143771,29710
2026-08-20T20:40:40Z,129671, 13486, 143771,29710
